"","GHC-017_output_filtered.bam","JHC-001_output_filtered.bam"
"PVP01_0928300",35,208
"PVP01_0210900",18,188
"PVP01_0003560",0,0
"PVP01_1209800",45,219
"PVP01_1107900",13,19
"PVP01_1315600",96,526
"PVP01_1142200",140,1183
"PVP01_0004460",0,0
"PVP01_1344300",12,51
"PVP01_0710100",14,85
"PVP01_0613100",58,208
"PVP01_0605600",26,105
"PVP01_0215700",1,6
"PVP01_0948900",0,0
"PVP01_1227700",33,162
"PVP01_0818400",93,402
"PVP01_0000800",0,0
"PVP01_0211800",6,44
"PVP01_0513600",2,28
"PVP01_0505100",110,829
"PVP01_0003310",0,0
"PVP01_1272700",0,0
"PVP01_0733400",2,76
"PVP01_1342400",2,22
"PVP01_0534200",0,0
"PVP01_1312100",32,157
"PVP01_1108200",59,159
"PVP01_1437500",12,15
"PVP01_0913900",12,82
"PVP01_1207500",9,29
"PVP01_1133900",11,104
"PVP01_1254600",11,34
"PVP01_0831200",20,122
"PVP01_1149000",0,0
"PVP01_0009250",0,0
"PVP01_0914800",26,127
"PVP01_0928500",115,448
"PVP01_1404600",57,136
"PVP01_1132800",4,21
"PVP01_0624600",7,40
"PVP01_0002060",0,0
"PVP01_0000020",0,0
"PVP01_1258500",239,1016
"PVP01_0001470",0,0
"PVP01_0924500",9,12
"PVP01_0722100",1,3
"PVP01_1450700",37,222
"PVP01_0624100",46,114
"PVP01_1466900",164,865
"PVP01_0736400",0,0
"PVP01_1413700",456,1739
"PVP01_1416100",50,333
"PVP01_0207200",4,28
"PVP01_0917500",3,19
"PVP01_1341300",1,9
"PVP01_0008120",0,0
"PVP01_1021700",5,19
"PVP01_1274100",0,0
"PVP01_1317000",90,406
"PVP01_1129800",42,159
"PVP01_0527500",241,775
"PVP01_0005430",0,0
"PVP01_1228000",3,19
"PVP01_0002150",0,0
"PVP01_1444400",20,111
"PVP01_1243500",19,72
"PVP01_1118700",101,397
"PVP01_0719000",251,1214
"PVP01_0412900",12,29
"PVP01_0315600",38,215
"PVP01_1417500",35,122
"PVP01_1035700",0,0
"PVP01_0004490",0,0
"PVP01_0501900",29,199
"PVP01_0009940",0,0
"PVP01_0949800",0,0
"PVP01_1456800",53,208
"PVP01_0505000",2,25
"PVP01_0007790",0,0
"PVP01_0213400",64,280
"PVP01_0000150",0,0
"PVP01_1124300",13,31
"PVP01_1232300",39,293
"PVP01_0809600",120,768
"PVP01_0000210",0,0
"PVP01_1148400",0,0
"PVP01_1137200",28,88
"PVP01_0734300",14,251
"PVP01_0711700",23,111
"PVP01_0009990",0,0
"PVP01_0005860",0,0
"PVP01_0704400",169,860
"PVP01_1316600",0,15
"PVP01_1209600",23,180
"PVP01_0909600",34,176
"PVP01_1115800",41,132
"PVP01_0000200",0,0
"PVP01_0906600",45,315
"PVP01_1213300",40,181
"PVP01_0000770",0,0
"PVP01_0940500",17,166
"PVP01_0320200",2,12
"PVP01_0836800",102,491
"PVP01_0815400",22,44
"PVP01_0810000",78,402
"PVP01_0706400",31,106
"PVP01_0531200",0,4
"PVP01_0000370",0,0
"PVP01_1219500",1,5
"PVP01_0008830",0,0
"PVP01_0513700",24,82
"PVP01_0005360",0,0
"PVP01_0937000",67,242
"PVP01_0831900",13,17
"PVP01_0009170",0,0
"PVP01_0707500",79,253
"PVP01_0204500",94,486
"PVP01_0808100",11,20
"PVP01_1414600",15,66
"PVP01_0613300",17,45
"PVP01_1423000",220,1277
"PVP01_1035600",0,0
"PVP01_0906900",58,323
"PVP01_0006460",0,0
"PVP01_1146900",16,77
"PVP01_0318000",68,240
"PVP01_1417800",25,118
"PVP01_0006920",0,0
"PVP01_1109100",32,196
"PVP01_0606500",48,220
"PVP01_0512800",49,243
"PVP01_0007610",0,0
"PVP01_0610100",105,505
"PVP01_0944500",0,0
"PVP01_0714300",2,1
"PVP01_0316100",33,83
"PVP01_0804000",46,261
"PVP01_0313700",284,2390
"PVP01_0000990",0,0
"PVP01_1142000",137,728
"PVP01_1002500",23,125
"PVP01_1252800",63,237
"PVP01_0604900",4,33
"PVP01_1035200",0,0
"PVP01_0000280",0,0
"PVP01_1202700",65,293
"PVP01_0008080",0,0
"PVP01_0620200",45,256
"PVP01_1406700",32,176
"PVP01_0414300",0,32
"PVP01_0819000",48,173
"PVP01_1402400",1067,8622
"PVP01_1018400",28,150
"PVP01_1144400",23,161
"PVP01_0916600",2,18
"PVP01_0714000",11,19
"PVP01_1445400",102,411
"PVP01_0608600",10,36
"PVP01_1144100",17,84
"PVP01_0730100",11,72
"PVP01_0504300",5,21
"PVP01_1148700",0,0
"PVP01_0941200",39,192
"PVP01_0942200",3,8
"PVP01_0905700",106,655
"PVP01_1248000",58,292
"PVP01_1409600",165,627
"PVP01_1005300",43,143
"PVP01_1263700",1,9
"PVP01_1445500",19,119
"PVP01_0108900",22,284
"PVP01_1426700",152,725
"PVP01_0311200",119,468
"PVP01_1447600",5,21
"PVP01_1220600",79,374
"PVP01_0932400",128,474
"PVP01_0307400",45,179
"PVP01_1442500",37,132
"PVP01_1026000",1,12
"PVP01_1010100",29,169
"PVP01_0534600",0,0
"PVP01_0006360",0,0
"PVP01_1223800",53,212
"PVP01_0011080",0,0
"PVP01_0824700",0,15
"PVP01_0418000",21,97
"PVP01_0522500",5,23
"PVP01_0212400",8,22
"PVP01_0723000",176,690
"PVP01_1255400",36,137
"PVP01_1111600",52,199
"PVP01_1025000",19,215
"PVP01_0010640",0,0
"PVP01_1448800",14,94
"PVP01_1034500",0,0
"PVP01_0931800",4,12
